"indicator_id","indicator_name","category","definition","unit","frequency","source_id","source_field","calculation_rule","availability_lag","market_object","evidence_class","status","notes"
"cgb_ga_dr007","DR007加权利率","liquidity","银行间存款类机构7天质押式回购加权利率","%","daily","","","raw；精确数据源字段待映射","","funding","[E]","proposed_gate_a","P0；[E] rpt_c406ce66269f6c16，PDF物理页4，证据数据截止日[U]未声明（正文称进入6月/当前）；报告以DR007相对政策利率判断资金状态；[X] 候选iFinD/官方源及可得滞后待核验"
"cgb_ga_omo_7d_rate","7天公开市场操作政策利率","monetary_policy","用于刻画银行间短期资金政策锚的7天公开市场操作利率","%","event/daily","","","事件日原值，非事件日向前填充规则需版本化","","funding_policy_anchor","[E]","proposed_gate_a","P0；[E] rpt_c406ce66269f6c16，PDF物理页4，证据数据截止日[U]未声明；仅作为政策锚，不与DR007混写；[X] 官方源与字段待映射"
"cgb_ga_dr007_omo_spread","DR007-7天政策利率利差","liquidity","DR007相对7天政策利率的偏离","bp","daily","","cgb_ga_dr007;cgb_ga_omo_7d_rate","(DR007_pct-OMO7D_pct)*100","","funding","[I]","proposed_gate_a","P0；[I] 基于[E] rpt_c406ce66269f6c16，PDF物理页4，证据数据截止日[U]未声明；正值仅表示资金利率高于政策锚，不自动等于持续收紧"
"cgb_ga_large_bank_net_lending","大行资金净融出","liquidity","大型银行在资金市场的净融出规模，精确机构集合与交易口径待定义","CNY_100mn","daily","","","raw；机构集合、正负号与市场范围待冻结","","funding","[U]","proposed_gate_a","P0；[E] rpt_c406ce66269f6c16，PDF物理页3，证据数据截止日[U]未声明（正文仅称2026年6月初大行净融出减少）；[U] 数量、机构集合、原始源和字段均未披露"
"cgb_ga_pbc_net_liquidity_injection","央行净流动性投放","monetary_policy","公开市场及指定货币政策工具到期与投放的净额，工具集合需冻结","CNY_100mn","daily/weekly","","","sum(injections)-sum(maturities)；纳入工具清单版本化","","funding","[I]","proposed_gate_a","P0；[I] 用于检验政府债供给的流动性对冲；依据[E] rpt_c5fb1a641cf93b7c，PDF物理页8，证据数据截止日[U]未声明；[X] 工具集合和官方/iFinD字段待映射"
"cgb_ga_gov_bond_net_financing","政府债净融资","supply_demand","指定期间政府债发行缴款减到期偿还，需保留国债/地方债及期限维度","CNY_100mn","weekly","","","sum(issue_payment)-sum(maturity_redemption)；按bond_type和tenor_bucket分组","","cash_bond_supply","[I]","proposed_gate_a","P0；[I] 将[E] rpt_c5fb1a641cf93b7c，PDF物理页8，证据数据截止日[U]未声明的供给压力转成可审计量；[X] 财政部/官方/iFinD源映射待核验"
"cgb_ga_yield_curve_nodes","国债固定期限收益率节点","curve_valuation","同一估值源、同一时点的2Y、5Y、10Y、30Y国债到期收益率长表","%","daily","","","raw；tenor必须为2Y|5Y|10Y|30Y，禁止混用活跃券成交收益率","","cash_bond_curve","[I]","proposed_gate_a","P0；[I] 为三点/四点曲线共同输入；证据锚包括[E] rpt_feca128af69a3d3b，PDF物理页3，截止日[U]未声明，以及rpt_c406ce66269f6c16，PDF物理页8-9，截止日[U]未声明；[X] 估值源和字段待映射"
"cgb_ga_term_spread","固定期限国债期限利差","curve_valuation","按固定定义计算的2Y-10Y、5Y-10Y、10Y-30Y曲线段，表内记录short_tenor和long_tenor","bp","daily","","cgb_ga_yield_curve_nodes","(yield_long-yield_short)*100；每条曲线段单独存储","","cash_bond_curve","[I]","proposed_gate_a","P0；[I] 解决2Y-10Y与10Y-30Y不可混写；依据[E] rpt_c406ce66269f6c16，PDF物理页8-9，截止日[U]未声明，以及rpt_feca128af69a3d3b，PDF物理页3，截止日[U]未声明"
"cgb_ga_active_contract_code","TS/TF/T/TL分产品主力合约代码","futures_microstructure","按产品和交易日记录唯一活动合约，允许人工覆盖但必须保留来源与理由","contract_code","daily","","","产品内按冻结规则选择；人工覆盖另存override_reason","","cgb_futures","[I]","proposed_gate_a","P0；[I] 为所有期货指标的数据治理前置项；依据三份卡片对TS/TF/T/TL和实际合约的严格区分；[X] 主力选择规则及中金所/iFinD字段待核验"
"cgb_ga_futures_settlement","国债期货逐合约结算价","futures_microstructure","TS、TF、T、TL实际合约的日结算价，不以连续合约替代","price_per_100","daily","","","raw；键为trade_date,product,contract_code","","cgb_futures","[E]","proposed_gate_a","P0；[E] rpt_c5fb1a641cf93b7c，PDF物理页4，证据数据截止日[U]未声明（2026H1收益）及rpt_c406ce66269f6c16，PDF物理页13，截止日[U]未声明（实际2609/2612合约）；[X] 官方/iFinD字段待映射"
