audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
"gb_bb2_001","rpt_bb2de5c3b82fc0e2","E01","4","报告把2026H1全球状态概括为总量韧性、K型分化加剧且AI产业趋势未逆转。","pass：不含图中精确增速；总量、结构和趋势方向与正文一致。","pass_with_U：保留[U]；页面只给2026H1/26Q2语境，未声明统一截止日。","pass：对象为海外宏观与产业状态，没有写成中国国债价格事实。","pass：物理页4正文明确陈述，分类为[E]。","pass：正文可独立成立，GDP图中点位未使用。","pass_with_U","方向核对通过；K型分化和AI趋势均为报告归纳。"
"gb_bb2_002","rpt_bb2de5c3b82fc0e2","E02","5","报告将K型分化概括为行业景气差异、生产投资强于消费，并比较中美AI融资结构。","pass：没有擅自填入图中投资增速；强弱方向与正文一致。","pass_with_U：保留[U]未声明。","pass：宏观融资结构与利率环境被视为报告概括，不写成CGB因果结论。","pass：物理页5正文明确陈述，分类为[E]。","pass：正文独立支持，图中三年增长点位未使用。","pass_with_U","中国弱信贷低利率强汇率、美国高利率强信贷需外部验证。"
"gb_bb2_003","rpt_bb2de5c3b82fc0e2","E03","6","远端油价稳定可使相应久期通胀预期稳定并缓和债券波动率。","pass：只保留方向链，没有虚构油价、通胀或波动率点位。","pass_with_U：保留[U]未声明。","pass：对象为油价、通胀预期和债券波动率；未直接映射到中国现券或期货。","pass：正文明确提出该方法论，分类为[E]；因果强度未升级为事实。","pass：正文完整陈述机制，图表仅作示意。","pass_with_U","可吸收为外部接口，但需用远期油价、通胀互换和MOVE验证。"
"gb_bb2_004","rpt_bb2de5c3b82fc0e2","E04","7","报告称美债关注点转向货币政策框架，外汇关注点转向实需与产业链韧性。","pass：只记录主线变化方向，未转写资产涨跌幅。","pass_with_U：页面仅写截止8.7，年份未明示。","pass：美债与外汇严格区分，未写成中国国债事实。","pass：正文明确陈述，分类为[E]。","pass：不依赖资产表现图中的精确数值。","pass_with_U","市场主线是报告解释；需以数据复盘。"
"gb_bb2_005","rpt_bb2de5c3b82fc0e2","E05","9","报告预计2026H2美国实际GDP同比约2.1%，本页称CPI同比高点在6月、之后回落但中枢仍偏高。","pass_with_U：2.1%单位为实际GDP同比；通胀方向一致，但第13页模型文字把高点置于7月。","pass_with_U：预测期为2026H2，但预测基准日未声明。","pass：美国增长与通胀预测，没有外推到CGB方向。","pass：正文明确给出，分类为[E]报告预测；冲突月份不作为事实。","pass：正文独立支持，表格/图中预测值未补录。","pass_with_U","预测而非已实现事实；6月/7月高点冲突已公示，月份不进入可复用阈值。"
"gb_bb2_006","rpt_bb2de5c3b82fc0e2","E06","9","报告基准判断美联储按兵不动，并将金融条件调整为中性偏紧。","pass：政策方向和金融条件档位与正文一致，无虚构概率。","pass_with_U：2026H2预测，基准日未声明。","pass：美联储政策与金融条件分开，未写成美债或CGB必然方向。","pass：正文明确观点，分类为[E]。","pass：不依赖页面图表。","pass_with_U","同时保留鹰派惯性难证伪的情景分歧。"
"gb_bb2_007","rpt_bb2de5c3b82fc0e2","E07","10","中东冲突后除中国外主要经济体增长预期普遍下调，美欧通胀预期上升。","pass_with_U：方向在正文与图题一致；精确数值存在内部冲突，卡片未采用。","pass_with_U：观测日未声明。","pass：对象为全球增长与通胀共识，未直接映射CGB。","pass：方向为正文明确内容；冲突数值标记[U]并排除。","pass：无需视觉裁定冲突数字，因为证据只保留共同方向。","pass_with_U","严重歧义已隔离；不得把正文和图题中不一致的数字混合。"
"gb_bb2_008","rpt_bb2de5c3b82fc0e2","E08","11","报告同时指出原油通道供给受限和炼厂高价采购意愿下降，油价进一步上行依赖地缘恶化。","pass：约战前10%的方向与正文一致；没有引入图中月差和裂解价差点位。","pass_with_U：当前状态具体观测日未声明。","pass：原油供给、需求和价格条件严格区分。","pass：正文明确陈述，分类为[E]。","pass：正文可独立支持，图中点位未使用。","pass_with_U","供给冲击与需求负反馈需要同时保留。"
"gb_bb2_009","rpt_bb2de5c3b82fc0e2","E09","12","报告称7月CPI nowcast约3.42%，较前值回落，并判断能源同比对总体通胀影响有限。","pass_with_U：3.42%为CPI实时读数、回落方向与正文一致；本页称高点在6月而第13页模型文字称7月。","pass_with_U：仅知2026年7月，具体观测日未声明。","pass：通胀读数和报告解释分开，不写成美联储或CGB必然结果。","pass：正文明确给出读数和解释，分类为[E]；冲突月份保留U。","pass：正文可独立成立，图中曲线未使用。","pass_with_U","需用正式CPI和nowcast历史版本外部验证；6月/7月冲突月份不采用。"
"gb_bb2_010","rpt_bb2de5c3b82fc0e2","E10","13","报告预计2026H2平均CPI约3.2%-3.3%，2027年中回落至1.8%-2.5%。","pass_with_U：区间和回落方向与正文一致；本页模型把高点置于7月且油价正文/图题阈值冲突，均未录入。","pass_with_U：模型快照日和样本未声明。","pass：美国通胀预测未自动写成美债或中国国债方向。","pass：正文明确给出，分类为[E]报告预测；冲突月份与阈值保留U。","pass：不依赖图中模型曲线点位。","pass_with_U","第9、12页称高点6月而本页模型称7月；图题90美元、正文92美元；两项冲突均排除。"
"gb_bb2_011","rpt_bb2de5c3b82fc0e2","E11","15","报告称7月FOMC以9:3按兵不动，并把会后资产反应解释为联储信用受损定价。","pass_with_U：9:3与按兵不动明确；原文‘10y美债回落’未说明是价格还是收益率，不能确定方向口径。","pass_with_U：仅知2026年7月FOMC，具体会议日未声明。","pass_with_U：美元、美股期货、‘10y美债’和2Y分别记录；仅标题明确2Y收益率反弹，10Y保留U且不外推。","pass：事件与报告解释均为正文明确内容；解释不冒充外部事实。","pass：正文可核对原文歧义；图表未用于猜测10Y口径。","pass_with_U","FOMC事实与事件窗口需外部核验；10Y价格/收益率歧义已隔离。"
"gb_bb2_012","rpt_bb2de5c3b82fc0e2","E12","16","报告认为主要风险不是鹰鸽方向，而是新的可追踪政策框架尚未建立。","pass：没有数值；风险对象和方向与正文一致。","pass_with_U：语境截至2026年7月FOMC后，具体日未声明。","pass：政策框架风险未直接写成某一期限美债或CGB方向。","pass：正文明确陈述，分类为[E]报告观点。","pass：不依赖图表。","pass_with_U","可吸收为政策沟通维度，评价色彩需保留。"
"gb_bb2_013","rpt_bb2de5c3b82fc0e2","E13","17","报告将美国金融条件由边际宽松调整为中性偏紧，并拆分多个分项。","pass：档位方向和分项列表与正文一致；未虚构指数值。","pass_with_U：观测日未声明。","pass：金融条件与政策利率、长端利率、信用、股票、房地产和美元分别处理。","pass：正文明确陈述，分类为[E]。","pass：正文足够；两张图中的评分和权重未提取。","pass_with_U","复用前需取得正式FCI及分项贡献。"
"gb_bb2_014","rpt_bb2de5c3b82fc0e2","E14","19","报告维持2026年美联储按兵不动判断，理由含通胀回落、远端油价稳定和传统经济偏弱。","pass：政策方向和三个条件与正文一致，无虚构概率。","pass_with_U：报告讨论2026年，预测基准日未声明。","pass：基本面理由与政策判断分开，不写成已实现政策事实。","pass：正文明确观点，分类为[E]。","pass：不依赖图中期限溢价和经济惊喜点位。","pass_with_U","属于条件性预测，后续需按触发项复盘。"
"gb_bb2_015","rpt_bb2de5c3b82fc0e2","E15","20","报告称AI资本开支约占美国私人固定投资14%-16%，并定义本轮投资周期。","pass：14%-16%占比和方向与正文一致。","pass_with_U：当前与预测口径混合，统一截止日未声明。","pass：美国投资结构没有写成中国利率因果。","pass：正文明确陈述，分类为[E]。","pass：正文可独立支持；图中分项点位未使用。","pass_with_U","统计口径和分母需外部复算。"
"gb_bb2_016","rpt_bb2de5c3b82fc0e2","E17","24","能源消费约占支出5.5%、对增速贡献约2.3%，非能源贡献约0.2%。","pass：三个百分比及贡献方向按正文保留，没有改写为百分点以外的口径。","pass_with_U：当前值具体观测日未声明。","pass：美国消费结构与能源价格效应分开，不外推CGB。","pass：正文明确数字，分类为[E]。","pass：正文独立支持，图中零售曲线未使用。","pass_with_U","需复核贡献口径、季调和价格/数量分解。"
"gb_bb2_017","rpt_bb2de5c3b82fc0e2","E19","31","报告认为利差和政策支持美元，通胀回落、风险偏好和持仓拥挤限制上方空间。","pass：多因素方向与正文一致，无虚构贡献权重。","pass_with_U：报告讨论2026H2，观测日未声明。","pass：美元驱动与人民币、中国国债分开。","pass：正文明确陈述，分类为[E]报告判断。","pass：图中贡献和z-score未使用。","pass_with_U","适合状态分解，不适合单因子美元模型。"
"gb_bb2_018","rpt_bb2de5c3b82fc0e2","E21","33","报告认为前瞻指引淡化会降低政策路径能见度并放大美债波动和不确定性补偿。","pass：不含未披露的期限溢价点位；方向与正文一致。","pass_with_U：报告讨论2026H2，观测日未声明。","pass：美债波动、政策路径和期限补偿分别表述，未自动映射CGB。","pass：正文明确陈述，分类为[E]；因果强度未升级。","pass：正文可独立支持，图中分化数值未使用。","pass_with_U","财政供给是必须保留的竞争性解释。"
