report_id,relative_path,source_original_path,filename,sha256,file_size_bytes,page_count,title,institution,co_brand,authors_display,publish_date,publish_date_text,publish_date_precision,filename_date,data_cutoff,latest_explicit_data_date,data_cutoff_scope,primary_topic,topic_tags,report_type,research_horizon,instrument_scope,has_text_layer,text_page_coverage_pct,text_char_count,ocr_requirement,visual_review_requirement,chart_density,duplicate_status,duplicate_of_report_id,partial_overlap_group,extraction_quality,manual_review_status,ingested_at,notes
rpt_c5fb1a641cf93b7c,00_inbox/raw_reports/20260706-华泰期货-国债半年报：反弹之后，等待拐点.pdf,D:\researchreports\bond\20260706-华泰期货-国债半年报：反弹之后，等待拐点.pdf,20260706-华泰期货-国债半年报：反弹之后，等待拐点.pdf,c5fb1a641cf93b7ca6fa7176c8e1a85295343788e8fe3346138a463d393e9ad7,1060461,14,国债：反弹之后，等待拐点,华泰期货有限公司,华泰期货研究院,徐闻宇（本期分析研究员）,2026-07-06,2026 年 07 月 06 日,day,2026-07-06,,2026-06-30,section_specific,2026年下半年国债与利率展望,宏观基本面|货币政策|供给|流动性|收益率曲线|期债,half_year_outlook,2026H2,现券|收益率曲线|国债期货,true,100.0,11352,targeted,required,high,partial_overlap_review,,overlap_huatai_futures_2026h2,high,pending,2026-08-15T22:01:22+08:00,[U] 2026-06-30仅为局部最新明确日期，不代表全篇统一截止日。
rpt_ffa011069cee4a47,00_inbox/raw_reports/20260706-建信期货-国债半年报：1.65％—1.95％，利率的窄走廊与新均衡.pdf,D:\researchreports\bond\20260706-建信期货-国债半年报：1.65％—1.95％，利率的窄走廊与新均衡.pdf,20260706-建信期货-国债半年报：1.65％—1.95％，利率的窄走廊与新均衡.pdf,ffa011069cee4a472c5dff0c0471cb88e44cd7e1e42ae483fed777326d3246a8,1860063,19,1.65%—1.95%：利率的窄走廊与新均衡,建信期货有限责任公司,研究发展部,何卓乔（研究员（宏观贵金属））|黄雯昕（研究员（国债集运））|聂嘉怡（研究员（股指））,2026-07-06,2026 年 7 月 6 日,day,2026-07-06,,2026-06-26,mixed,利率走廊与下半年国债展望,货币政策|利率走廊|收益率曲线|期限利差|期债,half_year_outlook,2026H2,现券|收益率曲线|期限利差|国债期货,true,100.0,11966,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] 市场快照、历史样本和预测表存在多口径日期。
rpt_97d85a7c1574f339,00_inbox/raw_reports/20260726-国泰海通证券-债券基金周度数据观察：30年国债ETF为何越涨越赎.pdf,D:\researchreports\bond\20260726-国泰海通证券-债券基金周度数据观察：30年国债ETF为何越涨越赎.pdf,20260726-国泰海通证券-债券基金周度数据观察：30年国债ETF为何越涨越赎.pdf,97d85a7c1574f3397077083425af215cfe5ab9e95d4b1161309db7ffbb17eefe,955183,11,30年国债ETF为何越涨越赎,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|熊航飞（研究助理）,2026-07-26,2026.07.26,day,2026-07-26,,2026-07-24,mixed,30年国债ETF申赎与机构行为,债券基金|30年国债ETF|申赎|机构行为|CTD,fund_data,weekly,30年国债ETF|现券|收益率曲线|TL|CTD,true,100.0,14665,targeted,required,high,partial_overlap_review,,overlap_fund_duration_2026q3,medium,pending,2026-08-15T22:01:22+08:00,[U] ETF、现券、期货及基金持仓数据更新时间不同。
rpt_b793155f619a8ad8,00_inbox/raw_reports/20260727-国泰海通证券-市场策略周报：如何识别国债期货盘中的“量化”博弈特征.pdf,D:\researchreports\bond\20260727-国泰海通证券-市场策略周报：如何识别国债期货盘中的“量化”博弈特征.pdf,20260727-国泰海通证券-市场策略周报：如何识别国债期货盘中的“量化”博弈特征.pdf,b793155f619a8ad86d9fb1f8eb5a9521d3c40c7dbb3f9cb8f342092d6d94b384,997572,9,如何识别国债期货盘中的“量化”博弈特征,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|孙越（分析师）,2026-07-27,2026.07.27,day,2026-07-27,,2026-07-24,section_specific,国债期货盘中交易结构识别,国债期货|成交持仓|CTD|基差|IRR|交易行为,futures_microstructure,weekly,国债期货|成交持仓|CTD|基差|IRR,true,100.0,10786,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] “类量化”是报告构造的识别框架，不能当作账户身份事实。
rpt_737662a2d6e52aed,00_inbox/raw_reports/20260730-国泰海通证券-7月FOMC：沃什说了什么，票委做了什么.pdf,D:\researchreports\bond\20260730-国泰海通证券-7月FOMC：沃什说了什么，票委做了什么.pdf,20260730-国泰海通证券-7月FOMC：沃什说了什么，票委做了什么.pdf,737662a2d6e52aed7d3fa01ad4e2879baa3e67a0747a02b74d17e5e520d32ca2,859767,8,7月FOMC：沃什说了什么，票委做了什么,国泰海通证券股份有限公司,研究所,王一凡（分析师）|唐元懋（分析师）,2026-07-30,2026.07.30,day,2026-07-30,,,none,7月FOMC事件与美债定价,FOMC|美联储|票委|美债曲线|事件点评,event_commentary,event_window,美债现券|美债收益率曲线|美元,true,100.0,8521,none,required,medium,unique,,,high,pending,2026-08-15T22:01:22+08:00,[U] 会议事件、盘中概率与历史数据库更新月份不同，未发现全篇统一截止日。
rpt_cfe3ee74ed151370,00_inbox/raw_reports/20260802-国泰海通证券-透视股债跷跷板：细分资产相关性的K型分化.pdf,D:\researchreports\bond\20260802-国泰海通证券-透视股债跷跷板：细分资产相关性的K型分化.pdf,20260802-国泰海通证券-透视股债跷跷板：细分资产相关性的K型分化.pdf,cfe3ee74ed15137041f3e4040e9de7b670365bb06b98de6a2127785a66cc9fac,2448341,10,透视股债跷跷板：细分资产相关性的K型分化,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|杜润琛（分析师）,2026-08-02,2026.08.02,day,2026-08-02,,2026-07-31,mixed,股债相关性与细分资产分化,股债跷跷板|相关性|收益率曲线|跨资产,cross_asset_macro,weekly,现券|收益率曲线|股票|跨资产,true,100.0,11167,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] 半年相关性样本与周度市场快照混合；不得将相关性升级为因果。
rpt_05386acea6130991,00_inbox/raw_reports/20260804-国泰海通证券-机构行为周度跟踪：30年国债走强行情，会起波动吗，机构行为关注三个关键信号.pdf,D:\researchreports\bond\20260804-国泰海通证券-机构行为周度跟踪：30年国债走强行情，会起波动吗，机构行为关注三个关键信号.pdf,20260804-国泰海通证券-机构行为周度跟踪：30年国债走强行情，会起波动吗，机构行为关注三个关键信号.pdf,05386acea6130991db6e0f662dbfcc67a1f00ed6fd6650eb2d594201f0d843b2,3023219,9,30年国债走强行情，会起波动吗：机构行为关注三个关键信号,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|汤志宇（分析师）,2026-08-04,2026.08.04,day,2026-08-04,,2026-07-31,section_specific,30年国债机构行为信号,30年国债|机构行为|杠杆|一级市场|波动,institution_behavior,weekly,30年国债现券|收益率曲线|机构行为,true,100.0,7609,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] 交易、杠杆和一级市场数据可能存在各自更新时差。
rpt_5856700aced049fc,00_inbox/raw_reports/20260809-华泰期货-国债周报：国债期货偏弱震荡，长端跌幅大于短端.pdf,D:\researchreports\bond\20260809-华泰期货-国债周报：国债期货偏弱震荡，长端跌幅大于短端.pdf,20260809-华泰期货-国债周报：国债期货偏弱震荡，长端跌幅大于短端.pdf,5856700aced049fca482f870ab0be5fe4c2a964b9b5ecdc1ef21e798326ef93c,2135642,13,国债期货偏弱震荡，长端跌幅大于短端,华泰期货有限公司,华泰期货研究院,徐闻宇（本期分析研究员）,2026-08-09,2026-08-09,day,2026-08-09,,2026-08-07,section_specific,国债期货周度市场与期现指标,TS|TF|T|TL|基差|净基差|IRR|Carry|跨期价差,weekly_market,weekly,TS|TF|T|TL|跨期价差|基差|净基差|IRR|Carry,true,100.0,13228,targeted,required,high,partial_overlap_review,,overlap_huatai_futures_2026h2,medium,pending,2026-08-15T22:01:22+08:00,[U] 2026-08-07为局部央行操作和期货收盘口径；月度宏观数据更早。沈嘉奇仅为联系人，未录为作者。
rpt_c811a6f1f2c78270,00_inbox/raw_reports/20260809-国泰海通证券-30年活跃券如何切换：历史规律与26特6的“不稳定接棒”.pdf,D:\researchreports\bond\20260809-国泰海通证券-30年活跃券如何切换：历史规律与26特6的“不稳定接棒”.pdf,20260809-国泰海通证券-30年活跃券如何切换：历史规律与26特6的“不稳定接棒”.pdf,c811a6f1f2c782709d9963acb6275d47a78a693dc3e6501145d04734df41365a,1083552,12,30年活跃券如何切换：历史规律与26特6的“不稳定接棒”,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|孙越（分析师）,2026-08-09,2026.08.09,day,2026-08-09,,2026-08-07,mixed,30年国债活跃券切换与流动性,活跃券|30年国债|流动性|换券|供给,futures_microstructure,weekly,30年国债现券|收益率曲线|流动性,true,100.0,17263,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] 历史切券样本、供给计划和当周数据口径混合。
rpt_9fa333483e94e169,00_inbox/raw_reports/20260809-国泰海通证券-港交所国债期货上市首周：定价中枢与跨境联动.pdf,D:\researchreports\bond\20260809-国泰海通证券-港交所国债期货上市首周：定价中枢与跨境联动.pdf,20260809-国泰海通证券-港交所国债期货上市首周：定价中枢与跨境联动.pdf,9fa333483e94e1694987ac258fb5c052f4fe06d022059392dcf1a37aeecb5095,1248824,10,港交所国债期货上市首周：定价中枢与跨境联动,国泰海通证券股份有限公司,研究所,唐元懋（分析师）|孙越（分析师）,2026-08-09,2026.08.09,day,2026-08-09,,2026-08-07,mixed,港交所国债期货定价与跨境联动,港交所国债期货|中金所|跨境联动|现金结算|期现,futures_microstructure,listing_week,港交所国债期货|中金所国债期货|跨境联动,true,100.0,11261,targeted,required,high,unique,,,medium,pending,2026-08-15T22:01:22+08:00,[U] 港交所现金结算与中金所实物交割不可混写为同一基差或收敛套利。
