report_id,page,page_class,text_char_count,chart_dependency,visual_review_required,review_status,notes
"rpt_bb2de5c3b82fc0e2","1","cover_abstract","89","none","no","reviewed_text","封面；明确标题、机构语境、2026年8月和署名。精确发布日期不由文件名代替。"
"rpt_bb2de5c3b82fc0e2","2","table_of_contents","78","none","no","reviewed_text","目录；列出上半年复盘、下半年展望和FICC大类资产三部分，不承载研究证据。"
"rpt_bb2de5c3b82fc0e2","3","divider","25","none","no","text_reviewed_non_research","章节分隔页：2026年上半年海外宏观经济和市场主线逻辑梳理。"
"rpt_bb2de5c3b82fc0e2","4","narrative_with_two_charts","473","low","no","text_reviewed_visual_not_required","正文概括全球总量韧性、K型分化和AI产业趋势；采用的方向均由文字明确，图中点位未使用。"
"rpt_bb2de5c3b82fc0e2","5","narrative_with_two_charts","554","low","no","text_reviewed_visual_not_required","正文界定K型分化并比较中美融资结构；图中投资和消费点位未提取。"
"rpt_bb2de5c3b82fc0e2","6","narrative_with_two_charts","548","low","no","text_reviewed_visual_not_required","正文完整给出近端/远端油价—通胀预期—债券波动率链；无需依赖图中曲线点位。"
"rpt_bb2de5c3b82fc0e2","7","narrative_with_chart","377","low","no","text_reviewed_visual_not_required","上半年资产复盘；页面仅写截止8.7而年份未明示，保留U；图中资产涨跌幅未录入。"
"rpt_bb2de5c3b82fc0e2","8","divider","31","none","no","text_reviewed_non_research","章节分隔页：2026年下半年海外宏观经济展望。"
"rpt_bb2de5c3b82fc0e2","9","narrative_with_chart","496","low","no","text_reviewed_visual_not_required","正文给出增长、通胀、货币政策和金融条件的2026H2基准判断；本页称CPI同比高点在6月，而第13页模型文字称7月，月份冲突保留U。"
"rpt_bb2de5c3b82fc0e2","10","narrative_with_two_charts","305","medium","no","text_reviewed_visual_not_required","全球增长与通胀共识；图题与正文的部分精确增长预测不一致，只保留方向，不视觉追判冲突值。"
"rpt_bb2de5c3b82fc0e2","11","narrative_with_two_charts","487","low","no","text_reviewed_visual_not_required","正文同时陈述原油通道供给约束和亚洲炼厂需求负反馈；图中基差、裂解价差点位未使用。"
"rpt_bb2de5c3b82fc0e2","12","narrative_with_two_charts","337","low","no","text_reviewed_visual_not_required","正文给出7月CPI nowcast约3.42%并称高点在6月；第13页模型文字称高点在7月，月份冲突保留U。"
"rpt_bb2de5c3b82fc0e2","13","narrative_with_two_charts","511","medium","no","text_reviewed_visual_not_required","正文给出通胀路径；模型文字把高点置于7月而第9、12页置于6月；图题90美元与正文92美元；两项冲突均不采用。"
"rpt_bb2de5c3b82fc0e2","14","chart","199","high","no","text_reviewed_visual_not_required","四图为主；标题与图注指向核心通胀传导有限，相邻正文已充分支撑接口，图中点位不进入证据。"
"rpt_bb2de5c3b82fc0e2","15","narrative_with_two_charts","510","low","no","text_reviewed_visual_not_required","正文给出7月FOMC投票与政策解释；‘10y美债回落’未明确指价格或收益率，标题只明确2Y收益率反弹，资产方向保留U。"
"rpt_bb2de5c3b82fc0e2","16","narrative_with_two_charts","537","low","no","text_reviewed_visual_not_required","正文讨论美联储公信力与反应函数真空期；图中讲话和Trimmed PCE点位未使用。"
"rpt_bb2de5c3b82fc0e2","17","narrative_with_two_charts","504","low","no","text_reviewed_visual_not_required","正文列出金融条件分项与定性档位调整；指数权重和图中值无法复算。"
