evidence_id,report_id,field_name,field_value,evidence_class,source_type,page_start,page_end,evidence_data_cutoff,cutoff_scope,extraction_method,confidence,review_status,note
ev_20260815_0001,rpt_c406ce66269f6c16,sha256,c406ce66269f6c16627ef25fa6806e5f9060549bd1700fb9f4e3b12d118b7db3,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0002,rpt_c406ce66269f6c16,page_count,15,X,pdf_structure,1,15,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0003,rpt_c406ce66269f6c16,has_text_layer,true,X,pdf_text_layer,1,15,,none,pypdf_text_extract,high,pending,15/15页存在可提取文字。
ev_20260815_0004,rpt_c406ce66269f6c16,title,2026年半年度报告：水活则鱼动，把握流动性改善的机遇,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0005,rpt_c406ce66269f6c16,institution,中信建投期货有限公司,E,pdf_text,14,14,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0006,rpt_c406ce66269f6c16,publish_date_text,2026 年6 月 30 日,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0007,rpt_c406ce66269f6c16,publish_date,2026-06-30,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0008,rpt_c406ce66269f6c16,authors_display,孙玉龙,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0009,rpt_c406ce66269f6c16,latest_explicit_data_date,,U,pdf_text,,,,none,manual_text_review,medium,pending,未找到可安全标准化的最新全局日期。
ev_20260815_0010,rpt_c406ce66269f6c16,data_cutoff,,U,pdf_text_and_layout_review,,,,none,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0011,rpt_c406ce66269f6c16,primary_topic,国债期货流动性与期现策略,I,full_report_review,1,15,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0012,rpt_c406ce66269f6c16,report_type,futures_microstructure,I,full_report_review,1,15,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0013,rpt_c406ce66269f6c16,chart_density,high,I,full_report_review,1,15,,none,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
ev_20260815_0014,rpt_c5fb1a641cf93b7c,sha256,c5fb1a641cf93b7ca6fa7176c8e1a85295343788e8fe3346138a463d393e9ad7,X,filesystem,,,,none,sha256,high,pending,源与项目副本SHA-256一致。
ev_20260815_0015,rpt_c5fb1a641cf93b7c,page_count,14,X,pdf_structure,1,14,,none,pypdf,high,pending,PDF物理页数。
ev_20260815_0016,rpt_c5fb1a641cf93b7c,has_text_layer,true,X,pdf_text_layer,1,14,,none,pypdf_text_extract,high,pending,14/14页存在可提取文字。
ev_20260815_0017,rpt_c5fb1a641cf93b7c,title,国债：反弹之后，等待拐点,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0018,rpt_c5fb1a641cf93b7c,institution,华泰期货有限公司,E,pdf_text,13,13,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0019,rpt_c5fb1a641cf93b7c,publish_date_text,2026 年 07 月 06 日,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0020,rpt_c5fb1a641cf93b7c,publish_date,2026-07-06,E,pdf_text,1,1,,none,date_normalization,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0021,rpt_c5fb1a641cf93b7c,filename_date,2026-07-06,X,filename,,,,none,filename_parse,high,pending,仅为文件名日期，不等同报告发布日期或数据截止日。
ev_20260815_0022,rpt_c5fb1a641cf93b7c,co_brand,华泰期货研究院,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0023,rpt_c5fb1a641cf93b7c,authors_display,徐闻宇（本期分析研究员）,E,pdf_text,1,1,,none,manual_text_review,high,pending,身份元数据不适用数据截止日；以U状态说明，不以发布日期代替。
ev_20260815_0024,rpt_c5fb1a641cf93b7c,latest_explicit_data_date,2026-06-30,E,pdf_text_or_chart_axis,4,4,2026-06-30,section_specific,manual_text_and_layout_review,medium,pending,仅代表报告内最新可明确核证的局部日期。
ev_20260815_0025,rpt_c5fb1a641cf93b7c,data_cutoff,,U,pdf_text_and_layout_review,,,,section_specific,manual_review,high,pending,未发现全篇统一数据截止日；不得用发布日期或最新局部日期补齐。
ev_20260815_0026,rpt_c5fb1a641cf93b7c,primary_topic,2026年下半年国债与利率展望,I,full_report_review,1,14,,section_specific,controlled_vocabulary_mapping,medium,pending,研究资料管理员的分类映射，非报告明示事实。
