issue_id,report_id,asset_id,field_name,page_start,page_end,issue_type,severity,evidence_class,description,status,resolution,detected_at,reviewed_at
iss_20260815_0001,rpt_c406ce66269f6c16,,chart_values,1,15,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0002,rpt_c406ce66269f6c16,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=none，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0003,rpt_c406ce66269f6c16,,pdf_metadata,,,metadata_conflict,high,U,PDF属性标题为模板名、作者为“1”，与封面/正文冲突。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0004,rpt_c5fb1a641cf93b7c,,chart_values,1,14,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0005,rpt_c5fb1a641cf93b7c,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=section_specific，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0006,rpt_c5fb1a641cf93b7c,,duplicate_status,1,14,partial_overlap_review,low,I,登记于overlap_huatai_futures_2026h2，仅表示局部内容/模板复用待核，不构成删除依据。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0007,rpt_ffa011069cee4a47,,chart_values,1,19,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0008,rpt_ffa011069cee4a47,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0009,rpt_97d85a7c1574f339,,chart_values,1,11,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0010,rpt_97d85a7c1574f339,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0011,rpt_97d85a7c1574f339,,duplicate_status,1,11,partial_overlap_review,low,I,登记于overlap_fund_duration_2026q3，仅表示局部内容/模板复用待核，不构成删除依据。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0012,rpt_b793155f619a8ad8,,chart_values,1,9,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0013,rpt_b793155f619a8ad8,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=section_specific，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0014,rpt_737662a2d6e52aed,,chart_values,1,8,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0015,rpt_737662a2d6e52aed,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=none，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0016,rpt_cfe3ee74ed151370,,chart_values,1,10,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0017,rpt_cfe3ee74ed151370,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=mixed，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0018,rpt_05386acea6130991,,chart_values,1,9,visual_chart_review_required,medium,U,文字层存在不代表曲线点位、表格行列、图例方向、历史分位和单位可可靠恢复；写入[E]前需逐图视觉复核。,open,,2026-08-15T22:01:22+08:00,
iss_20260815_0019,rpt_05386acea6130991,,data_cutoff,,,report_wide_cutoff_missing_or_mixed,medium,U,未发现全篇统一数据截止日；当前scope=section_specific，data_cutoff保持为空。,open,,2026-08-15T22:01:22+08:00,
