researcher_id,name,institution,roles_display,source_report_ids,source_pages,evidence_class,manual_review_status,notes
rsr_337a8eb45eac0ae0,何卓乔,建信期货有限责任公司,研究员（宏观贵金属）,rpt_ffa011069cee4a47,rpt_ffa011069cee4a47:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_2e80990a254efc45,唐元懋,国泰海通证券股份有限公司,分析师,rpt_97d85a7c1574f339|rpt_b793155f619a8ad8|rpt_737662a2d6e52aed|rpt_cfe3ee74ed151370|rpt_05386acea6130991|rpt_c811a6f1f2c78270|rpt_9fa333483e94e169|rpt_feca128af69a3d3b,rpt_97d85a7c1574f339:p1|rpt_b793155f619a8ad8:p1|rpt_737662a2d6e52aed:p1|rpt_cfe3ee74ed151370:p1|rpt_05386acea6130991:p1|rpt_c811a6f1f2c78270:p1|rpt_9fa333483e94e169:p1|rpt_feca128af69a3d3b:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_8eb8514f93803601,孙玉龙,中信建投期货有限公司,作者姓名,rpt_c406ce66269f6c16,rpt_c406ce66269f6c16:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_cd44de58a85f3e95,孙越,国泰海通证券股份有限公司,分析师,rpt_b793155f619a8ad8|rpt_c811a6f1f2c78270|rpt_9fa333483e94e169,rpt_b793155f619a8ad8:p1|rpt_c811a6f1f2c78270:p1|rpt_9fa333483e94e169:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_4acc346f5010deee,张粲东,上海东证期货有限公司,宏观策略高级分析师,rpt_dadd32fd61400f1a,rpt_dadd32fd61400f1a:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_581ee359f2688aa3,徐闻宇,华泰期货有限公司,本期分析研究员,rpt_c5fb1a641cf93b7c|rpt_5856700aced049fc,rpt_c5fb1a641cf93b7c:p1|rpt_5856700aced049fc:p12,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_96f6a8359845dffd,戴璐,国泰君安期货有限公司,首席分析师、宏观总量组行政负责人,rpt_bb2de5c3b82fc0e2,rpt_bb2de5c3b82fc0e2:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_ff5b9483f4c7775d,杜润琛,国泰海通证券股份有限公司,分析师,rpt_cfe3ee74ed151370,rpt_cfe3ee74ed151370:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_a68609b370b822a4,汤志宇,国泰海通证券股份有限公司,分析师,rpt_05386acea6130991,rpt_05386acea6130991:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_900f2ec6867df650,熊航飞,国泰海通证券股份有限公司,研究助理,rpt_97d85a7c1574f339|rpt_feca128af69a3d3b,rpt_97d85a7c1574f339:p1|rpt_feca128af69a3d3b:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_00f956336e5cc19d,王一凡,国泰海通证券股份有限公司,分析师,rpt_737662a2d6e52aed,rpt_737662a2d6e52aed:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_14fbe84e19e093de,聂嘉怡,建信期货有限责任公司,研究员（股指）,rpt_ffa011069cee4a47,rpt_ffa011069cee4a47:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
rsr_c1ef36aafb33215b,黄雯昕,建信期货有限责任公司,研究员（国债集运）,rpt_ffa011069cee4a47,rpt_ffa011069cee4a47:p1,E,pending,仅录入封面或正文明确署名；未明确的作者角色不扩写。
