underlying_contract,option_expiry_date,rule_code,source_name,source_url,quality_flag,human_review_required
CF103,2021-02-08,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF105,2021-04-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF107,2021-06-10,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF109,2021-08-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF111,2021-10-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF201,2021-12-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF203,2022-02-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF205,2022-04-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF207,2022-06-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF209,2022-08-11,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF211,2022-10-12,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF301,2022-12-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF303,2023-02-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF305,2023-04-12,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
CF307,2023-06-13,CZCE_OPTION_PREV_MONTH_DAY15_THIRD_LAST_TRADING_DAY,CZCE cotton option contract and official CF history,https://www.czce.com.cn/cn/sspz/mh/bzhy/qqhy/H077002003001002index_1.htm,OFFICIAL_RULE_AND_HISTORY_CALENDAR,false
