audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
B-FOMC-A01,rpt_737662a2d6e52aed,E01,3,"9票对3票维持3.50%-3.75%；三名异议者主张加息25BP",pass_票数利率区间人名和25BP方向逐项一致,pass_会议具体日未声明故标U,pass_联邦基金目标区间未混作美债收益率或中国政策利率,pass_报告明确陈述,pass_正文独立给出无需表1,pass,政策行动与异议票偏好分开记录
B-FOMC-A02,rpt_737662a2d6e52aed,E02,3,"声明沿用6月框架；未新增前瞻指引且未更新SEP和点阵图",pass_定性变化与正文一致且未添加幅度,pass_标注2026年7月FOMC且具体日为U,pass_SEP点阵图与市场期货定价未混写,pass_报告明确陈述,pass_正文独立给出,pass,未将6月点阵图当作7月新信息
B-FOMC-A03,rpt_737662a2d6e52aed,E03,3,"1936年以来同向偏紧三张异议票此前12次；本次为第13次",pass_起始年样本次数和递增关系一致,pass_明确保留数据库更新至2026年6月,pass_历史投票统计未写成加息概率,pass_报告引述的历史统计,pass_正文独立给出,pass,尚未用圣路易斯联储数据库复算
B-FOMC-A04,rpt_737662a2d6e52aed,E04,3,"2011年9月与2016年9月相似票型后政策结果不同",pass_年份月份与政策结果方向一致,pass_历史事件期与数据库更新月份分开,pass_FOMC投票案例未混作收益率表现,pass_历史事实与报告解释已区分,pass_正文独立给出,pass,仅支持异议票不是充分条件而非概率结论
B-FOMC-A05,rpt_737662a2d6e52aed,E05,4,"通常12人参与需至少7票；主席无否决权但有议程协调沟通优势",pass_人数与多数门槛一致且未夸大主席权力,pass_制度机制无时点故标U,pass_FOMC决策机制与IORB操作工具分开,pass_报告明确陈述的制度机制,pass_无图表依赖,pass,正式法律与操作条款仍需官方核验
B-FOMC-A06,rpt_737662a2d6e52aed,E06,4,"沃什重申2%目标；不称维持为暂停且未放弃政策选项",pass_目标值和表述方向一致,pass_记者会具体日未声明故标U,pass_政策沟通未写成实际加息行动,pass_报告对记者会的明确转述,pass_无图表依赖,pass,没有由偏鹰措辞推出必然加息
B-FOMC-A07,rpt_737662a2d6e52aed,E07,4,"此前42天名义与实际美债收益率上升；市场已完成部分紧缩",pass_时间长度对象与上行方向一致且未编造幅度,pass_42天起止端点未声明故标U,pass_名义实际美债收益率与政策利率严格区分,pass_报告转述判断而非本卡事实认定,pass_正文独立给出,pass,金融条件紧缩幅度和指数口径未披露
B-FOMC-A08,rpt_737662a2d6e52aed,E08,5-6,"9月加息概率由决议后约70%降至问答后约60%",pass_约数百分比阶段和下降方向一致,pass_明确标为会议盘中且时间戳U,pass_FedWatch概率未混作实际政策或收益率,pass_报告明确陈述的市场定价,pass_正文与表注独立支持无需复刻表2,pass,未当作收盘概率
B-FOMC-A09,rpt_737662a2d6e52aed,E09,5,"10年和30年美债收益率一度突破4.70%和5.20%；曲线熊陡",pass_期限点位单位与上行方向一致,pass_会议盘中精确时间戳未声明故标U,pass_美债收益率曲线未混作债券价格国债期货或中国国债,pass_报告明确陈述的盘中市场表现,pass_正文独立支持未从图表取点,pass,一度突破不等于收盘值
B-FOMC-A10,rpt_737662a2d6e52aed,E10,6,"短端交易实际政策路径；长端交易通胀信誉财政供给和期限溢价",pass_期限方向和变量角色与正文一致,pass_事件窗口具体时间未声明故标U,pass_短端长端曲线与政策利率区分,pass_明确标为报告解释未升级为因果事实,pass_正文独立给出,pass,保留实际利率供给仓位等竞争性解释
B-FOMC-A11,rpt_737662a2d6e52aed,E11,6,"制度偏好政治约束和等待信号被报告列为沃什维持模糊的三类原因",pass_三类原因与正文一致且未添加事实,pass_解释无独立数据截止日故标U,pass_政治解释未直接映射资产确定方向,pass_标为报告解释且政治部分明确属推断,pass_无图表依赖,pass,动机不可直接观察需保留低置信度
B-FOMC-A12,rpt_737662a2d6e52aed,E12,6-7,"此前期货计入年内接近两次加息；降温情景利好2至5年美债和短端OIS接收固定",pass_次数期限与条件方向一致,pass_定价时间戳与前瞻区间未声明故标U,pass_联邦基金期货美债现券与OIS策略分别表述,pass_报告明确给出的条件情景,pass_正文独立给出,pass,条件情景未写成确定收益
B-FOMC-A13,rpt_737662a2d6e52aed,E13,7,"10年美债核心区间4.5%-5.0%；强情景熊陡弱情景可能牛陡",pass_区间上下限曲线方向与条件一致,pass_模型样本估值截止日未声明故标U,pass_10年美债收益率与中国10年国债及期货未混淆,pass_报告预测明确标注为报告观点,pass_正文独立给出,pass,区间未通过外部数据回测
B-FOMC-A14,rpt_737662a2d6e52aed,E14,7,"关注通胀就业杰克逊霍尔工作组SEP点阵图；风险含冲突油价与通胀超预期",pass_观察项和风险方向逐项一致,pass_前瞻无统一截止日故标U,pass_宏观风险未直接写成某一资产必然方向,pass_报告明确陈述,pass_无图表依赖,pass,后续需转成可量化触发与证伪指标
