report_id,page,page_class,text_char_count,chart_dependency,visual_review_required,review_status,notes
"rpt_c406ce66269f6c16","1","cover_abstract","407","low","no","text_reviewed","封面、摘要、作者与发布日期；文字层含模板占位残留，但本卡仅采用清晰可辨的标题、机构和发布日期。"
"rpt_c406ce66269f6c16","2","table_of_contents","3104","none","no","text_reviewed","图表目录，列出图1-25；不承载研究结论。"
"rpt_c406ce66269f6c16","3","narrative_with_chart","689","low","no","text_reviewed","方向判断与图1；正文独立给出2026H1行情及事件链，图1点位未采用。"
"rpt_c406ce66269f6c16","4","narrative_with_two_charts","802","medium","no","text_reviewed","经济预期、资金利率和10Y国债利率关系；正文明确领先/滞后及DR007判断，图2-3无需视觉复核。"
"rpt_c406ce66269f6c16","5","narrative_with_two_charts","993","medium","no","text_reviewed","图4-5及跨品种/跨期价差论证；方向、品种和期限均由正文复述。"
"rpt_c406ce66269f6c16","6","narrative_with_two_charts","587","medium","no","text_reviewed","图6-7及曲线策略开篇；正文足以确认T-TL和TS/TL近远月价差方向。"
"rpt_c406ce66269f6c16","7","narrative_chart_dense","784","medium","no","text_reviewed","图8-10及历史策略回顾；累计收益精确数值不进入卡片。"
"rpt_c406ce66269f6c16","8","narrative_chart_dense","992","medium","no","text_reviewed","图11-14及信用/流动性周期与期限利差；正文独立给出机制和下半年判断。"
"rpt_c406ce66269f6c16","9","narrative_with_charts","958","medium","no","text_reviewed","图15-16、TL品种选择和净基差章节开篇；仅采用正文定性命题。"
"rpt_c406ce66269f6c16","10","narrative_chart_dense","926","medium","no","text_reviewed","图17-20及TS净基差策略；正文确认相对高低和策略方向，图20精确百分比未纳入证据。"
"rpt_c406ce66269f6c16","11","formula_narrative_with_charts","942","medium","no","text_reviewed","跨期理论关系、图21-22；正文解释决定项，完整公式排版与图中点位未纳入。"
"rpt_c406ce66269f6c16","12","narrative_with_three_charts","819","medium","no","text_reviewed","图23-25和2609-2612策略；合约多空由正文明确，不依赖图表。"
"rpt_c406ce66269f6c16","13","strategy_summary","334","low","no","text_reviewed","四类策略及风险情景总结，无图表；正文为核心结论来源。"
"rpt_c406ce66269f6c16","14","risk_disclaimer","704","none","no","text_reviewed_non_research","风险提示与版权声明，不用于研究证据。"
"rpt_c406ce66269f6c16","15","copyright_disclaimer","154","none","no","text_reviewed_non_research","版权声明续页，不用于研究证据。"
