audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
"ga_c406_001","rpt_c406ce66269f6c16","E01","3","报告称2026年上半年国债期货各品种全线收涨，长期限品种表现更突出。","pass：无精确点位；全线收涨和长期限更强的方向与正文一致。","pass：[U]保留；正文只声明2026H1，未用发布日期替代截止日。","pass：对象为国债期货各品种，不写成现券收益率。","pass：物理页3正文明确陈述，分类为[E]。","pass：正文可独立成立，图1点位未使用。","pass_with_U","方向和品种核对通过；精确涨幅未提取。"
"ga_c406_002","rpt_c406ce66269f6c16","E02","3","1月15日各类结构性货币政策工具利率下调0.25个百分点，报告将其解释为期债触底回升的宽松信号。","pass：0.25个百分点、下调方向和结构性工具口径均与正文一致。","pass：事件证据日期为2026-01-15；没有用报告发布日期替代。","pass：政策动作与其后国债期货反应分开表述。","pass：政策动作和报告解释均为正文明确内容；解释不冒充外部事实。","pass：不依赖图表。","pass","报告内证据核对通过；政策事实仍列入外部验证清单。"
"ga_c406_003","rpt_c406ce66269f6c16","E03","3","报告称6月初大行净融出减少引发流动性扰动和期债回调。","pass：只保留减少/回调方向；报告未给数量，卡片未补数。","pass：[U]保留；仅记录正文的2026年6月初，未推测具体日。","pass：大行净融出属于资金指标，价格反应限定为国债期货。","pass：物理页3正文明确陈述，分类为[E]。","pass：不依赖图表。","pass_with_U","数量、机构拆分和精确日期均需外部数据。"
"ga_c406_004","rpt_c406ce66269f6c16","E04","4","报告称国债利率下行领先资金利率拐点、滞后经济预期约半年，并据此解释上半年走强。","pass：领先/滞后方向及约半年均与物理页4正文一致。","pass：[U]保留；报告未声明该比较的统一截止日。","pass：此处为10Y国债利率与资金/社融关系，不写成某一期货合约价差。","pass：正文明确陈述；因果措辞限定为报告解释。","pass：图2-3用于佐证，但正文已复述；未读取图中点位。","pass_with_U","未见回归、样本定义或显著性，卡片已标为未经统计检验。"
"ga_c406_005","rpt_c406ce66269f6c16","E05","4","报告称DR007已回到政策利率之上，并判断资金面继续收紧的压力难持续增加。","pass：DR007相对政策利率为向上；卡片未虚构利差幅度。","pass：[U]保留；正文仅称进入6月/当前。","pass：DR007为资金利率；支持对象是期债和短端环境，不写成基差点位。","pass：相对位置与判断均为正文明确内容，后者保留为报告观点。","pass：正文独立明确；图4-5精确值未采用。","pass_with_U","需用同日DR007和政策利率外部复核。"
"ga_c406_006","rpt_c406ce66269f6c16","E06","5","T与TL价差由2025年下半年上升转为2026年顶部震荡/筑顶；6月TL相对T更抗跌并领先回暖。","pass：价差趋势和TL相对强弱方向与正文一致；未写精确价差。","pass：[U]保留；仅记录2025H2至2026年6月的叙述范围。","pass：明确为T、TL国债期货相对表现，不写成10Y-30Y现券利差。","pass：物理页5正文明确陈述，分类为[E]。","pass：图6非必要；正文已给趋势与相对强弱。","pass_with_U","价差乘数口径需在数据工程中固化。"
"ga_c406_007","rpt_c406ce66269f6c16","E07","5","5月移仓时TS近远月价差扩张强于TL；切换至09-12后价差下降，TL一度远月高于近月。","pass：扩张/下降及远月高于近月的方向与正文一致。","pass：[U]保留；正文只给2026年5-6月，未给逐日截止。","pass：严格限定为TS/TL国债期货跨期价差，不混同期限利差。","pass：物理页5正文明确陈述，分类为[E]。","pass：图7非必要；未采用坐标数值。","pass_with_U","06-09与09-12切换需在复算时固定合约和日期。"
"ga_c406_008","rpt_c406ce66269f6c16","E11","8","金融下行周期对应宽货币、紧信用和流动性宽松，有利于期限利差走扩；金融上行周期相反。","pass：走扩/收敛方向与正文一致；无数值被添加。","pass：[U]保留；历史样本截止日未披露。","pass：对象为现券收益率期限利差；期货表达另列，不混写。","pass：物理页8正文明确陈述，但卡片注明相关不等于因果。","pass：图13-14非必要；正文完整复述机制。","pass_with_U","需用统一样本检验稳定性，并控制供给与机构需求。"
"ga_c406_009","rpt_c406ce66269f6c16","E12","8","报告判断社融底年内难现，曲线较大概率维持陡峭化，并把多短空长列为下半年跨品种主线。","pass：社融底难现、陡峭化和多短空长方向均与正文一致。","pass：[U]保留；预测期为2026H2，无观测截止日。","pass：曲线形态与期货组合映射分开；多短空长未写成现券裸空。","pass：物理页8正文明确给出，属于报告判断[E]。","pass：正文可独立成立；图11-16点位未采用。","pass_with_U","“多短空长”在卡片中进一步限定为期货跨品种表达。"
"ga_c406_010","rpt_c406ce66269f6c16","E13","9","报告不建议TL作为套利空头品种，建议以多TS、空T为主。","pass：TS多头、T空头及排除TL的方向与正文一致。","pass：[U]保留；仅有2026H2策略期。","pass：明确区分TS、T、TL国债期货；不等同于2Y/10Y/30Y现券头寸。","pass：物理页9正文明确陈述，分类为[E]。","pass：不依赖图表。","pass_with_U","组合权重、入场阈值和止损未由报告给出。"
