audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
EA001,rpt_feca128af69a3d3b,E01,3,"10年国债收益率约1.7%，30-10利差收窄；利差和久期分别处2025年以来71.5%和84.6%分位。","pass：1.7%及两个百分位与正文一致；未抄录图中点位。","pass_with_U：正文未声明这些当前值的精确日期，卡片标[U]。","pass：10年/30年现券收益率及期限利差；未写成国债期货。","pass：[E]为正文明确陈述。","pass：正文独立给出数值和方向，无需视觉复核。",pass_with_U,"分位口径为报告口径，未获得样本起止日和计算方法。"
EA002,rpt_feca128af69a3d3b,E02,3,"当前拉久期被解释为买30年、博弈30-10利差压缩，而非单押10年利率继续突破。","pass：无新增未经报告支持的数值；方向与正文一致。","pass_with_U：当期解释无精确截止日。","pass：区分30年现券相对交易、10年现券和30-10期限利差。","pass：[E]标作报告解释，没有提升为客观事实。","pass：正文足够；图1只作佐证。",pass_with_U,"需要持仓或交易级数据才能验证该归因。"
EA003,rpt_feca128af69a3d3b,E03,3,"2024年8-12月利率由约2.1%下行至1.6%以下，基金久期平缓上升。","pass：2.1%到低于1.6%的方向和单位与正文一致。","pass：以报告明确区间终点2024-12记录，月度精度。","pass_with_U：该句只称‘利率’，没有再次明确具体期限；卡片未擅自指定。","pass：[E]为历史案例。","pass：正文含完整区间、数值和方向。",pass_with_U,"具体收益率期限需回到原始Wind序列核实。"
EA004,rpt_feca128af69a3d3b,E04,3,"2025年6-8月利率上行时，基金久期反而升至历史极值。","pass：月份和相反方向关系与正文一致。","pass：记录2025-08月度精度。","pass：基金久期代理与未细分期限的利率；未外推期货。","pass：[E]为报告明确历史描述；卡片注明不构成因果。","pass：正文可独立核验，不需要图2点位。",pass,"该案例只能反驳简单的一一决定关系，不能估计影响大小。"
EA005,rpt_feca128af69a3d3b,E05,3,"2025年10月降久期期间，超长端国债收益率仍震荡下行。","pass：月份、降久期与收益率下行方向一致。","pass：记录2025-10月度精度。","pass：明确为超长端现券收益率；未映射TL合约。","pass：[E]为正文明确陈述。","pass：正文足以支撑方向。",pass,"报告未在该句给出超长端的具体期限点和变动幅度。"
EA006,rpt_feca128af69a3d3b,E06,4,"久期分歧度极大值往往同步或滞后于利率拐点，因此更像结果或同步确认。","pass：只保留同步/滞后方向，没有虚构阈值或概率。","pass_with_U：概括性历史结论未声明统一截止日。","pass：机构久期分歧度与现券利率拐点；未混同基金平均久期。","pass：[E]为报告判断；‘往往’未量化的限制已记录。","pass：正文明确陈述，图3非必要。",pass_with_U,"需要样本数、拐点算法和领先滞后分布才能评价稳定性。"
EA007,rpt_feca128af69a3d3b,E07,4,"降久期初期先减持流动性较好的10年国债，利率上行确认后30年抛压放大。","pass：10年先、30年后及利率敏感度方向与正文一致。","pass：证据案例最晚列至2025-11，按月度精度。","pass：明确区分10年和30年现券；没有写成TF/T/TL或基差。","pass：[E]为报告机制解释；审计说明未将其升级为识别后的因果。","pass：正文包含阶段顺序，图4非必要。",pass,"‘流动性更好’和卖压映射仍需成交、持仓及其他机构流量验证。"
EA008,rpt_feca128af69a3d3b,E08,4,"2024年12月和2025年9月拐点处10年卖出力度较大；后续上行阶段的2025年2月和11月则30年抛压反超。","pass：四个月份、10年/30年相对方向均与正文一致。","pass：最晚证据记录为2025-11月度精度。","pass：比较基金对10年和30年现券的卖出力度。","pass：[E]为历史案例；卡片未补写未披露的规模值。","pass：正文列出全部方向和月份，无需读取图4数值。",pass_with_U,"‘卖出力度’的交易口径和两个历史阶段的配对规则未在正文定义。"
EA009,rpt_feca128af69a3d3b,E09,4,"2025年2-3月分歧度拐点滞后久期拐点，2025年6月则领先。","pass：两个案例的领先/滞后方向与正文一致。","pass：记录最晚2025-06月度精度。","pass：区分久期分歧度拐点与平均久期拐点。","pass：[E]为明确历史比较。","pass：正文可独立核验，图3只作时序展示。",pass,"该证据支持‘先后不稳定’，不支持‘分歧度完全无用’。"
EA010,rpt_feca128af69a3d3b,E10,5,"绩优前20%基金短期降久期约领先整体2周；长期反转伴随其久期下穿市场平均。","pass：前20%、2周和下穿方向均与正文一致。","pass_with_U：历史样本的起止日和统一截止日未声明。","pass：指标是基金久期代理及其相对关系，不是单只债券久期。","pass：[E]为报告所称历史规律；未写成已验证交易信号。","pass：正文直接写明两周和交叉条件，图5非必要。",pass_with_U,"绩优排名窗口、基金池、加权方式、再平衡及误报率均需人工/外部复核。"
EA011,rpt_feca128af69a3d3b,E11,5,"当前绩优基金久期仍上升，未急跌或跌破平均，因此报告认为拐点尚未出现。","pass：上升、未急跌、未下穿三个方向与正文一致。","pass_with_U：‘当前’没有给精确观测日。","pass：只对报告定义的基金久期信号作判断，不等同于利率或期货方向。","pass：[E]为报告当期判断。","pass：正文完整，不需要从图5判读交叉。",pass_with_U,"‘急速回落’没有数值阈值，不能直接自动化告警。"
EA012,rpt_feca128af69a3d3b,E12,5,"绩优基金久期5.92年，整体中长债基久期3.91年，过去一周差距扩大。","pass：5.92年、3.91年、差距扩大均与正文一致；未把2.01年差值冒充原文。","pass_with_U：过去一周的week_end未声明。","pass：两个数值均为基金久期代理，不是10年或30年债券剩余期限。","pass：[E]为正文数值。","pass：正文直接给数值和方向，图5非必要。",pass_with_U,"代理计算公式、样本和权重是本报告最关键的待核口径。"
