audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
A01,rpt_c5fb1a641cf93b7c,E02,4,"2026H1 TL上涨2.3元/张且2.1%；T上涨1.4元/张且1.3%；TF上涨0.7元/张且0.6%；TS上涨0.2元/张且0.2%",pass_四品种数字单位方向逐项与正文一致,pass_原文未给该句具体日故标U,pass_TL_T_TF_TS均为国债期货且未混作现券,pass_报告明示,pass_数字由正文给出无需读图,pass,未用图1图2反推额外数值
A02,rpt_c5fb1a641cf93b7c,E03,4,"截至6月30日合计持仓90.3万手成交34.8万手；较2025年末增长39.3%和2.5%；成交持仓比下降0.14至0.39",pass_数字单位比较基准和下降方向一致,pass_明确为2026-06-30,pass_四品种合计成交持仓未写成价格或现券,pass_报告明示,pass_正文独立给出,pass,未反推成交持仓比原值
A03,rpt_c5fb1a641cf93b7c,E04,4,"TL T TF TS持仓增长16.0% 67.5% 35.0% 13.7%；T占比43.8%",pass_数字顺序单位方向与正文一致,pass_沿用同段截至2026-06-30口径,pass_四个期货品种严格区分,pass_报告明示,pass_正文独立给出,pass,T占比仅指四品种持仓结构
A04,rpt_c5fb1a641cf93b7c,E05,4,"TL T TF TS成交量增长-2.7% -0.2% 10.2% 12.1%；报告认为TF TS更趋活跃",pass_负号正号顺序及百分比一致,pass_沿用同段截至2026-06-30口径,pass_成交量未混作持仓或价格,pass_数据与作者解释均明确标为报告陈述,pass_正文独立给出,pass,未把活跃解释写成账户因果
A05,rpt_c5fb1a641cf93b7c,E06,5,"1-2月上涨 3月回调 4月上旬至5月下旬由短及长走强 6月上旬至月末高位震荡",pass_四阶段时间与方向逐项一致,pass_无具体截止日故标U并保留覆盖至6月末,pass_对象为国债期货价格而非现券收益率,pass_报告明示的阶段划分,pass_正文可独立支持无需图3,pass,阶段驱动保留为报告解释
A06,rpt_c5fb1a641cf93b7c,E08,7,"2016年后投资更多体现为债务扩张而需求提振有限；报告认为利率持续承受下行压力",pass_定性方向与正文一致且未添加数值,pass_未声明故标U,pass_利率机制未直接写成某一期货合约事实,pass_报告明示的机制判断,pass_图5图6仅支持性未取点,pass,卡片另列共同趋势的竞争性解释
A07,rpt_c5fb1a641cf93b7c,E10,7-8,"隐性债务余额由2023年末14.3万亿元降至2025年末约7.4万亿元",pass_金额单位起止期和下降方向一致,pass_仅声明年末精度故标U具体日,pass_债务数据未混作债券发行或期货数据,pass_报告明示但需外部验证,pass_正文独立给出无需读图,pass,约7.4万亿元保留约数
A08,rpt_c5fb1a641cf93b7c,E11,8,"供给后移叠加海外加息预期可能抽取流动性并推升利率",pass_条件与方向一致且未虚构幅度,pass_未声明故标U,pass_收益率上行未误写为期货价格上行,pass_报告明示的条件性判断,pass_图7图8仅支持性,pass,卡片明确央行对冲为竞争条件
A09,rpt_c5fb1a641cf93b7c,E12,8,"2024年央行建立国债买卖政策工具；人民币投放转向主权国债仍待突破",pass_年份与机制方向一致,pass_未声明该项数据截止日故标U,pass_央行现券政策工具未混作国债期货操作,pass_政策事实与作者评价均保留为报告陈述,pass_正文独立给出,pass,需外部核验具体政策口径
A10,rpt_c5fb1a641cf93b7c,E13,10,"报告认为周期对利率影响弱化而趋势影响上升",pass_仅保留定性方向且未录入未标注点位,pass_图未声明精确截止日故标U,pass_对象为十年期发行利率与宏观变量而非期货收益,pass_明确写成报告经验判断而非因果事实,pass_第10页已视觉复核变量单位时间轴与定性形态,pass,共同趋势不能证明结构变量导致利率
A11,rpt_c5fb1a641cf93b7c,E15,11,"2024年以来主力合约IRR总体回落；2025年价格下行阶段回升；预计H2相对低位",pass_IRR方向与阶段一致且未编造精确值,pass_未声明精确截止日故标U,pass_IRR与价格基差CTD未混写,pass_历史描述和预测均标为报告明示,pass_正文独立支持定性表述且图18点位未进入,pass,低位阈值需后续数据验证
A12,rpt_c5fb1a641cf93b7c,E16,2,"经济反弹超预期和AI泡沫化加大为报告风险",pass_定性风险方向与正文一致,pass_未声明故标U,pass_风险未直接映射为某合约确定方向,pass_报告明示的风险提示,pass_无图表依赖,pass,需转换为外部可跟踪指标后使用
