audit_id,report_id,card_evidence_id,pdf_page,claim_excerpt_or_paraphrase,number_unit_direction_check,cutoff_check,instrument_check,evidence_class_check,chart_dependency_check,result,reviewer_note
A01,rpt_5856700aced049fc,E01,1,7月政治局会议要求下半年实施更加积极财政政策和适度宽松货币政策,pass_政策方向与正文一致,pass_未声明具体会议日故标U,pass_政策信息未直接写成期货价格事实,pass_报告转述明确标E,pass_无需图表,pass,会议原文需外部核验
A02,rpt_5856700aced049fc,E02,1,上半年GDP同比4.7%一季度5.0%二季度4.3%,pass_三个增速及季度方向一致,pass_保留统计期并标采集日U,pass_宏观数据未混作利率或期货数据,pass_报告明示,pass_正文独立给出,pass,内需偏弱保留为报告解释
A03,rpt_5856700aced049fc,E03,1,上半年CPI同比1.0%核心CPI1.2%且6月PPI同比4.1%,pass_数字单位与统计期一致,pass_保留H1和6月统计期且采集日标U,pass_物价数据未直接映射为合约结论,pass_报告明示,pass_正文独立给出,pass,未把历史高点表述扩展为因果
A04,rpt_5856700aced049fc,E04,1,一般公共预算收入支出同比4.7%和1.5%且政府性基金收入支出下降21.6%和16.4%,pass_四个数字预算口径和正负方向一致,pass_上半年统计期且采集日标U,pass_财政收支未混作债券净发行,pass_报告明示,pass_正文独立给出,pass,供给压力另列为报告判断
A05,rpt_5856700aced049fc,E05,1,上半年社融20.84万亿元同比少增2.02万亿元贷款10.72万亿元且6月末M2与M1为8.0%和4.0%,pass_金额单位方向和月末口径一致,pass_H1与2026年6月末分列,pass_社融贷款货币量未混作现券或期货,pass_报告明示,pass_正文独立给出,pass,剪刀差解释不提升为因果事实
A06,rpt_5856700aced049fc,E06,1,2026-08-07央行以1.4%开展10亿元7天逆回购,pass_日期利率金额期限均一致,pass_明确为2026-08-07,pass_央行操作未写成国债期货交易,pass_报告明示,pass_无需图表,pass,操作方式数量招标亦与正文一致
A07,rpt_5856700aced049fc,E07,1,TS TF T TL收盘102.634 106.535 109.425 115.720元且周涨跌-0.01% -0.05% -0.04% -0.11%,pass_品种顺序数值单位负号逐项一致,pass_明确为2026-08-07,pass_四者均为国债期货主力合约未混作现券收益率,pass_报告明示,pass_正文给出无需图1图2,pass,长端跌幅更大与TL跌幅最大一致
A08,rpt_5856700aced049fc,E08,1,DR001约1.35%且DR007约1.38%并被报告解释为短端相对支撑,pass_近似值和方向与综述一致,pass_当周未单列日故标U并注明最新显式日,pass_资金利率与短端期货相对表现分开,pass_数据与作者解释均标E,pass_无需资金曲线,pass,页4表3的DR007为1.39%已公示精度差异
A09,rpt_5856700aced049fc,E09,1,当周国债期货偏弱震荡且长端跌幅更大报告归因为浮盈兑现避险回落和TL减仓,pass_表现方向与正文一致且未虚构幅度,pass_当周未单列起止日故标U,pass_TL期货减仓未写成30年现券成交,pass_表现和报告归因均标E且卡片另列竞争解释,pass_正文独立支持无需图3,pass,账户类型和因果需外部验证
A10,rpt_5856700aced049fc,E10,1,单边中性关注3T-TL回落且中期调整压力下可用远月合约适度空头套保,pass_三个策略方向与正文一致且未补阈值,pass_策略时点未声明数据截止故标U,pass_单边跨品种和套保严格拆分,pass_报告明示,pass_3T-TL方向由正文给出无需图15,pass,具体合约DV01与套保比率保留U
A11,rpt_5856700aced049fc,E13,5,2026-08-07 TS TF T TL持仓96181 244794 429811 250273手且环比+1531 -1475 +470 +2560,pass_品种顺序数值单位正负号一致,pass_水平日期明确但环比基准日未列并已保留U,pass_持仓未混作成交价格或多空净头寸,pass_文字表明确列示,pass_表4文字层可读无需图3,pass,TL环比增加与p1当周减仓可能属于不同窗口故不强行合并
A12,rpt_5856700aced049fc,E15,6,2026-08-07 Shibor隔夜1周1月分别1.92% 1.39% 1.42%,pass_期限顺序水平与单位一致,pass_明确为2026-08-07,pass_Shibor未混作DR007或IRR,pass_文字表明确列示,pass_表5文字层可读无需图5,pass,环比变化未标单位故未用于卡片判断
